arrival_vessels_24h,port_capacity_utilization,visibility_km,wind_speed_knots,queue_length,arrival_hour,vessel_type,is_monsoon_season,day_of_week,delay_minutes,congestion_label,congestion_level,confidence_score
28,0.5809,12.12,12.17,10,4,2,0,0,315.07,1,2,0.6732
5,0.8898,7.0,27.93,9,19,1,0,1,251.94,1,1,0.6116
48,0.4292,2.65,44.35,1,22,1,0,5,301.66,1,2,0.6601
12,0.1562,5.24,16.64,3,23,1,1,6,209.72,0,1,0.6295
28,0.1163,4.57,36.77,3,14,2,0,5,274.4,1,1,0.6335
15,0.8028,9.13,24.62,11,20,1,0,2,258.7,1,1,0.6182
21,0.546,13.51,6.59,1,8,1,0,3,142.87,0,0,0.6947
12,0.759,6.01,35.52,12,6,1,0,6,313.05,1,2,0.6712
39,0.2993,1.23,11.74,7,12,1,0,0,237.54,0,1,0.6024
39,0.3933,10.86,30.26,2,22,1,1,2,255.55,1,1,0.6152
37,0.1256,12.51,8.43,1,7,0,1,6,225.58,0,1,0.6141
9,0.9173,19.29,42.87,6,11,0,0,5,264.57,1,1,0.624
46,0.6677,12.2,16.67,14,3,2,1,1,422.32,1,2,0.7778
43,0.8932,9.95,14.06,0,15,2,0,4,284.65,1,1,0.6435
45,0.3257,11.89,10.17,14,5,0,0,2,293.24,1,1,0.6519
32,0.6197,18.63,42.84,5,4,2,0,2,316.28,1,2,0.6744
11,0.6767,16.74,33.48,12,0,0,0,4,252.98,1,1,0.6127
13,0.3699,7.14,34.67,12,13,1,1,5,307.35,1,2,0.6657
12,0.8209,5.51,24.98,2,8,0,0,2,218.65,0,1,0.6208
16,0.9051,5.99,23.99,12,17,2,1,0,365.77,1,2,0.7226
38,0.8521,10.58,9.4,2,5,2,0,5,336.37,1,2,0.694
37,0.7282,15.14,27.39,14,14,1,0,0,301.87,1,2,0.6603
27,0.3358,10.56,14.88,4,15,0,0,0,182.75,0,1,0.6558
28,0.3394,2.29,44.09,13,7,1,0,2,302.62,1,2,0.6611
41,0.9189,14.75,36.86,2,18,1,0,5,289.09,1,1,0.6479
39,0.1087,16.31,21.52,11,4,0,0,2,255.35,1,1,0.615
48,0.7086,6.5,11.05,3,13,1,0,2,258.21,1,1,0.6178
44,0.7003,13.62,36.41,12,6,1,0,5,345.07,1,2,0.7024
26,0.6293,9.11,9.88,12,3,0,0,5,324.47,1,2,0.6824
31,0.9416,17.89,12.57,14,20,0,0,5,322.67,1,2,0.6806
39,0.3651,17.06,13.46,2,0,1,0,6,198.16,0,1,0.6408
5,0.389,10.98,27.28,6,3,1,1,5,260.95,1,1,0.6204
39,0.1671,14.14,36.48,2,13,2,0,1,234.77,0,1,0.6051
41,0.4764,17.78,17.57,13,22,0,0,5,295.89,1,1,0.6545
18,0.3219,10.42,8.39,9,15,1,0,4,183.61,0,1,0.655
7,0.3919,6.95,23.58,3,6,1,1,5,229.84,0,1,0.6099
5,0.8094,15.32,34.92,1,9,0,1,2,232.36,0,1,0.6074
9,0.8952,5.18,13.87,1,9,1,0,4,193.47,0,1,0.6454
30,0.2579,8.38,13.8,8,3,0,0,6,269.82,1,1,0.6291
18,0.4166,17.45,42.89,10,11,0,0,3,245.4,1,1,0.6053
43,0.8893,14.76,43.17,0,5,1,1,0,348.47,1,2,0.7058
31,0.1525,8.67,44.62,0,12,1,0,1,195.36,0,1,0.6435
13,0.1785,5.08,37.31,9,20,2,0,4,250.39,1,1,0.6101
19,0.2384,7.76,12.53,0,0,0,1,6,215.71,0,1,0.6237
19,0.6059,6.4,13.48,13,7,1,1,0,300.89,1,2,0.6594
30,0.2279,4.35,18.61,2,22,0,0,1,194.07,0,1,0.6448
46,0.9229,15.12,17.73,1,15,0,0,5,290.73,1,1,0.6495
17,0.4797,5.79,43.26,2,4,2,0,6,315.55,1,2,0.6737
36,0.5263,9.63,36.56,13,6,1,1,0,349.81,1,2,0.7071
43,0.3097,8.33,33.96,4,2,0,0,6,306.12,1,2,0.6645
36,0.5003,19.66,12.44,8,23,1,0,2,202.54,0,1,0.6365
8,0.6626,8.43,41.38,1,20,2,0,2,237.2,0,1,0.6027
34,0.7385,2.52,38.11,11,1,0,1,5,444.16,1,2,0.7991
41,0.7408,2.71,11.55,10,1,0,0,0,348.04,1,2,0.7053
27,0.5912,12.22,39.85,14,19,0,0,5,336.94,1,2,0.6945
43,0.8687,12.39,15.89,13,22,2,0,5,379.96,1,2,0.7365
49,0.7948,8.96,8.23,0,9,0,0,1,250.77,1,1,0.6105
19,0.7435,9.21,31.27,10,19,0,1,0,320.01,1,2,0.678
47,0.1473,2.02,31.15,5,8,1,0,3,258.81,1,1,0.6183
33,0.1058,10.81,8.8,2,17,1,0,5,162.07,0,1,0.676
40,0.2806,10.59,17.75,12,5,2,0,1,323.22,1,2,0.6811
17,0.664,3.84,44.71,6,19,1,0,1,259.58,1,1,0.6191
36,0.4495,2.97,32.14,5,5,1,0,0,289.19,1,1,0.648
11,0.442,3.35,34.2,10,9,2,1,4,327.39,1,2,0.6852
26,0.8519,2.92,13.52,6,8,0,0,6,310.21,1,2,0.6685
32,0.8612,12.58,8.15,12,8,0,0,5,308.26,1,2,0.6666
6,0.8728,4.73,16.08,12,2,1,0,5,316.33,1,2,0.6744
46,0.3668,5.78,14.96,4,11,1,1,0,264.23,1,1,0.6236
49,0.6874,4.3,14.38,0,10,1,0,4,250.62,1,1,0.6104
10,0.3309,19.2,12.71,13,13,0,1,1,222.75,0,1,0.6168
32,0.262,17.24,27.99,2,18,1,0,6,196.2,0,1,0.6427
32,0.2569,5.38,18.12,2,9,1,1,2,225.01,0,1,0.6146
48,0.3908,7.22,37.81,6,18,2,1,5,387.2,1,2,0.7435
48,0.4655,4.99,12.36,14,4,2,0,2,369.72,1,2,0.7265
24,0.8063,10.35,23.59,13,21,0,0,6,327.63,1,2,0.6854
34,0.2019,1.37,5.55,12,8,2,0,5,306.18,1,2,0.6645
15,0.7247,13.76,24.27,2,0,0,0,6,229.73,0,1,0.61
32,0.5517,10.94,7.23,10,14,2,0,0,279.76,1,1,0.6388
29,0.3448,18.07,44.11,4,23,1,0,5,234.34,0,1,0.6055
43,0.5189,4.12,36.62,3,3,1,0,4,299.09,1,1,0.6576
37,0.355,16.28,24.6,3,6,1,0,5,216.59,0,1,0.6228
5,0.6067,16.05,8.46,12,5,0,0,0,228.17,0,1,0.6115
31,0.4688,3.42,28.7,6,14,0,0,6,290.19,1,1,0.6489
17,0.2397,8.57,35.35,0,5,0,0,3,211.43,0,1,0.6279
45,0.1991,4.23,12.63,6,6,2,0,0,276.06,1,1,0.6352
7,0.5647,5.84,27.73,14,19,1,0,0,263.7,1,1,0.6231
43,0.8671,6.0,37.57,7,21,0,0,0,346.53,1,2,0.7039
10,0.3924,11.57,35.73,2,2,2,1,0,289.47,1,1,0.6482
12,0.7231,8.82,37.12,14,20,0,0,4,308.76,1,2,0.667
31,0.6599,19.01,40.17,2,12,2,0,5,285.77,1,1,0.6446
13,0.8918,3.4,42.51,3,1,1,0,4,284.39,1,1,0.6433
41,0.7978,19.5,21.22,14,2,1,0,4,332.55,1,2,0.6902
37,0.5816,5.38,27.75,12,12,0,0,3,323.11,1,2,0.681
46,0.6585,15.68,36.63,5,8,2,0,3,318.34,1,2,0.6764
48,0.8636,7.44,32.89,13,21,0,0,5,400.13,1,2,0.7561
28,0.4396,3.72,44.82,6,18,0,0,5,309.02,1,2,0.6673
19,0.3778,17.3,5.55,0,17,1,0,6,137.28,0,0,0.7001
36,0.1092,6.87,19.21,14,4,2,0,0,328.41,1,2,0.6862
36,0.8026,13.52,16.24,12,9,0,0,4,294.99,1,1,0.6536
28,0.7808,11.76,15.49,3,13,1,0,3,222.75,0,1,0.6168
45,0.1888,9.96,13.9,11,20,1,0,2,241.46,1,1,0.6014
16,0.5903,10.42,33.36,6,16,1,0,0,224.21,0,1,0.6154
43,0.4944,14.91,8.39,10,2,1,0,6,297.49,1,1,0.6561
6,0.2009,2.67,34.66,1,6,0,1,1,222.74,0,1,0.6168
7,0.9335,13.7,32.74,0,8,0,0,4,207.44,0,1,0.6317
41,0.2825,18.02,15.03,0,4,1,0,0,183.47,0,1,0.6551
21,0.1571,2.1,15.11,9,3,0,0,5,282.66,1,1,0.6416
6,0.6056,3.67,30.15,13,2,1,0,0,295.32,1,1,0.6539
6,0.728,14.62,35.49,13,12,0,0,1,263.72,1,1,0.6231
32,0.1276,9.31,40.06,5,8,1,0,5,240.14,1,1,0.6001
27,0.6599,8.67,39.09,11,22,1,0,2,283.82,1,1,0.6427
41,0.5524,3.6,43.6,4,6,2,0,3,335.39,1,2,0.693
36,0.1878,10.63,28.26,0,7,1,0,3,169.26,0,1,0.669
37,0.2466,3.4,41.35,9,9,0,0,1,281.12,1,1,0.6401
5,0.5828,10.06,37.34,2,0,0,0,6,218.14,0,1,0.6213
23,0.3519,15.51,40.79,14,19,1,1,1,287.94,1,1,0.6467
6,0.8976,5.91,5.47,10,20,1,0,6,250.46,1,1,0.6102
48,0.7959,10.13,43.64,6,20,1,0,6,348.18,1,2,0.7055
30,0.936,19.85,23.94,11,0,1,0,3,273.52,1,1,0.6327
36,0.3207,14.05,36.93,8,18,2,0,2,284.78,1,1,0.6437
10,0.9243,16.99,10.09,12,1,2,0,2,292.16,1,1,0.6509
36,0.4665,8.88,20.84,8,11,0,0,0,260.66,1,1,0.6201
8,0.3954,15.59,15.86,14,22,1,0,1,186.23,0,1,0.6524
15,0.1428,1.77,16.67,5,12,0,1,1,230.99,0,1,0.6088
21,0.1449,3.34,9.93,2,13,1,0,1,147.64,0,0,0.6901
42,0.6882,4.86,37.23,0,4,1,0,5,318.4,1,2,0.6764
28,0.4892,8.64,5.37,2,2,1,1,3,238.81,0,1,0.6012
9,0.2925,17.07,17.5,9,23,0,0,3,166.33,0,1,0.6718
38,0.6219,7.58,11.98,1,16,2,0,3,259.71,1,1,0.6192
10,0.3149,13.44,28.56,10,0,0,1,2,243.05,1,1,0.603
26,0.591,14.48,15.17,4,13,0,0,3,209.39,0,1,0.6298
15,0.4053,12.14,15.36,7,5,0,0,0,214.35,0,1,0.625
20,0.8,7.79,24.53,4,16,1,0,5,262.46,1,1,0.6219
37,0.7976,11.96,31.11,0,3,0,0,3,284.06,1,1,0.643
13,0.5057,7.5,9.85,2,5,0,0,5,230.16,0,1,0.6096
10,0.3982,2.59,12.02,11,0,0,0,5,247.94,1,1,0.6077
20,0.4082,19.86,14.89,4,8,0,0,2,161.45,0,1,0.6766
33,0.7849,3.42,43.95,6,3,0,1,1,392.13,1,2,0.7483
7,0.379,2.37,20.89,4,8,0,0,5,223.34,0,1,0.6162
24,0.2777,17.69,28.96,13,8,1,1,0,258.73,1,1,0.6183
40,0.172,6.73,14.66,9,21,1,1,2,265.83,1,1,0.6252
23,0.4967,13.36,24.62,4,12,0,0,4,200.66,0,1,0.6384
30,0.5098,7.25,7.96,6,22,1,0,5,238.02,0,1,0.6019
7,0.8148,8.44,6.39,12,16,0,0,6,266.01,1,1,0.6254
23,0.2881,5.98,23.75,14,20,0,0,5,284.8,1,1,0.6437
24,0.4238,7.52,20.95,7,2,1,0,1,242.57,1,1,0.6025
36,0.7871,8.8,10.48,13,5,1,0,3,313.25,1,2,0.6714
11,0.8001,14.69,32.5,7,19,2,0,2,263.05,1,1,0.6225
45,0.4269,10.72,44.72,6,14,0,0,4,292.99,1,1,0.6517
37,0.4903,18.93,20.83,12,13,2,0,2,291.25,1,1,0.65
44,0.3578,1.8,29.98,13,12,1,0,3,314.75,1,2,0.6729
43,0.8927,10.56,43.52,2,8,2,0,2,343.23,1,2,0.7006
22,0.2008,12.1,38.26,10,22,2,0,4,260.38,1,1,0.6199
44,0.8937,18.48,23.54,1,14,0,0,2,255.45,1,1,0.6151
5,0.6813,1.93,34.5,0,13,0,1,0,253.69,1,1,0.6133
15,0.5518,11.9,10.13,5,3,1,1,0,238.65,0,1,0.6013
32,0.1278,17.22,25.48,12,10,0,0,3,225.33,0,1,0.6143
29,0.5043,5.6,16.16,8,21,2,0,6,305.88,1,2,0.6642
27,0.4466,17.65,11.45,2,1,0,1,6,252.21,1,1,0.6119
35,0.237,1.36,22.05,4,15,2,0,4,261.47,1,1,0.6209
34,0.6579,14.92,10.24,8,18,0,0,4,235.35,0,1,0.6045
46,0.9255,18.73,32.96,13,15,0,0,4,344.66,1,2,0.702
39,0.5779,13.49,23.25,13,6,2,0,4,331.61,1,2,0.6893
11,0.7075,9.34,26.25,8,10,0,0,4,249.52,1,1,0.6093
20,0.1582,1.85,10.86,6,11,0,0,6,215.24,0,1,0.6241
30,0.455,18.48,10.59,13,3,0,0,1,263.14,1,1,0.6226
6,0.1989,9.94,28.34,3,15,2,0,2,192.0,0,1,0.6468
5,0.6209,1.55,44.4,10,15,1,0,5,292.02,1,1,0.6507
16,0.8977,14.11,8.85,1,6,2,0,4,215.59,0,1,0.6238
9,0.6625,10.15,16.43,1,12,1,0,6,183.78,0,1,0.6548
41,0.1653,3.36,39.78,3,4,0,0,5,308.99,1,2,0.6673
36,0.4015,5.07,7.89,0,0,0,0,0,195.38,0,1,0.6435
13,0.5681,2.23,40.04,13,4,0,0,6,352.14,1,2,0.7093
45,0.4427,11.91,25.97,3,21,1,0,5,263.46,1,1,0.6229
39,0.8086,12.82,21.33,11,13,1,0,6,321.15,1,2,0.6791
23,0.7925,10.61,17.39,13,10,0,0,5,320.58,1,2,0.6786
20,0.6201,16.52,16.88,10,1,0,0,6,287.53,1,1,0.6463
7,0.4174,17.36,17.23,5,23,0,0,2,149.59,0,0,0.6881
24,0.317,12.7,40.39,5,17,0,0,5,238.85,0,1,0.6011
28,0.19,1.24,33.95,6,14,0,0,3,243.65,1,1,0.6036
37,0.4017,14.21,31.79,4,13,0,0,6,256.48,1,1,0.6161
28,0.4512,8.94,36.95,8,12,0,0,3,262.9,1,1,0.6223
15,0.6744,11.75,15.28,1,1,2,0,6,257.04,1,1,0.6166
12,0.6594,13.33,29.72,1,18,0,1,4,226.07,0,1,0.6136
40,0.1596,7.65,23.4,3,7,2,0,1,245.13,1,1,0.605
42,0.436,18.42,36.3,14,21,1,0,6,318.72,1,2,0.6768
44,0.2545,3.55,17.37,3,16,1,1,1,258.5,1,1,0.618
24,0.2333,13.76,30.73,3,14,0,0,2,187.42,0,1,0.6513
39,0.8032,1.08,40.29,0,19,1,0,1,285.62,1,1,0.6445
29,0.1356,18.57,21.09,3,20,0,0,5,179.36,0,1,0.6591
39,0.4563,3.14,7.66,11,13,0,1,3,321.54,1,2,0.6795
29,0.243,2.8,25.64,4,2,2,0,4,294.35,1,1,0.653
33,0.8474,7.33,18.84,8,16,1,0,0,266.67,1,1,0.626
22,0.5735,8.1,31.89,2,2,0,0,5,277.83,1,1,0.6369
22,0.2967,5.07,43.04,14,12,1,0,3,283.25,1,1,0.6422
6,0.5271,12.12,24.42,2,17,0,1,3,209.08,0,1,0.6301
39,0.7218,9.42,23.65,13,0,1,0,2,304.52,1,2,0.6629
20,0.9144,1.65,31.18,4,6,1,0,5,297.07,1,1,0.6556
45,0.2874,7.07,9.14,9,22,0,0,6,280.29,1,1,0.6393
40,0.8533,16.4,15.14,5,4,0,1,1,336.2,1,2,0.6938
37,0.8942,14.1,41.76,2,1,1,1,0,341.78,1,2,0.6992
8,0.879,14.77,31.8,0,16,1,0,0,181.57,0,1,0.657
37,0.6401,14.26,5.54,9,20,1,1,6,294.01,1,1,0.6527
18,0.6353,6.91,13.19,7,9,1,0,1,218.62,0,1,0.6208
25,0.4427,2.89,32.31,11,3,1,1,6,368.79,1,2,0.7256
24,0.7395,6.18,35.58,0,8,0,0,4,243.95,1,1,0.6039
12,0.5516,16.8,38.59,1,20,2,1,1,247.74,1,1,0.6075
11,0.6758,19.63,16.69,2,10,0,0,4,156.24,0,1,0.6817
7,0.4642,10.38,42.24,5,11,1,0,0,201.12,0,1,0.6379
21,0.7218,1.18,27.12,3,11,2,0,5,311.74,1,2,0.6699
37,0.8008,3.66,32.86,3,17,1,0,2,285.56,1,1,0.6444
16,0.2245,7.12,28.87,14,3,1,0,3,262.61,1,1,0.622
26,0.808,11.99,9.91,8,8,0,0,5,275.54,1,1,0.6346
26,0.5593,2.43,43.52,5,7,2,0,0,316.35,1,2,0.6744
34,0.818,18.92,9.92,11,18,0,1,0,299.96,1,1,0.6585
42,0.4666,7.94,15.2,1,23,1,1,0,254.8,1,1,0.6144
42,0.4222,18.34,37.55,6,12,0,1,3,286.24,1,1,0.6451
49,0.8778,15.83,29.74,14,1,0,0,4,392.58,1,2,0.7488
12,0.3135,15.35,38.53,12,18,0,0,2,230.72,0,1,0.609
31,0.8176,12.53,25.63,2,13,0,0,5,274.56,1,1,0.6337
31,0.5114,12.91,20.08,8,4,2,0,5,319.28,1,2,0.6773
38,0.537,13.12,41.87,5,9,2,1,2,342.89,1,2,0.7003
25,0.3622,12.95,6.45,7,23,1,1,2,221.73,0,1,0.6178
34,0.5871,11.52,39.25,12,16,0,0,4,312.29,1,2,0.6705
37,0.3764,19.74,14.23,12,19,0,1,5,301.42,1,2,0.6599
32,0.1334,14.91,38.95,0,15,1,0,1,160.3,0,1,0.6777
37,0.3312,15.76,10.57,1,16,0,0,1,164.49,0,1,0.6736
9,0.1054,17.58,28.21,5,0,1,1,2,164.28,0,1,0.6738
23,0.9316,5.1,40.52,2,20,0,0,0,283.26,1,1,0.6422
8,0.9209,2.59,23.94,0,21,1,0,0,208.46,0,1,0.6308
39,0.4359,10.17,34.86,5,14,2,0,3,293.67,1,1,0.6523
21,0.7191,10.77,37.19,4,16,1,0,1,239.82,0,1,0.6002
48,0.3939,16.75,34.46,12,10,2,0,0,331.45,1,2,0.6892
32,0.6704,9.43,42.01,8,21,1,0,6,314.27,1,2,0.6724
34,0.7846,11.85,22.87,5,4,1,0,2,284.67,1,1,0.6436
33,0.9047,11.01,11.93,4,3,1,0,3,275.54,1,1,0.6346
10,0.4402,1.73,6.91,0,20,0,0,1,158.55,0,1,0.6794
39,0.7658,12.69,14.86,14,23,2,1,3,391.14,1,2,0.7474
45,0.326,16.73,10.73,0,8,1,0,0,158.06,0,1,0.6799
41,0.9418,3.99,27.32,10,15,1,0,2,332.51,1,2,0.6902
28,0.1219,12.29,12.4,0,11,1,0,6,156.83,0,1,0.6811
33,0.613,12.28,6.56,6,17,0,1,2,262.8,1,1,0.6222
35,0.6606,4.12,6.44,5,21,2,0,2,270.0,1,1,0.6292
39,0.6848,3.35,38.26,13,2,0,1,0,430.21,1,2,0.7855
37,0.2023,19.62,28.66,4,14,2,0,6,253.5,1,1,0.6132
25,0.8978,8.48,19.32,3,17,0,0,6,274.78,1,1,0.6339
36,0.254,5.32,40.77,10,11,0,0,4,283.72,1,1,0.6426
27,0.6293,4.26,7.81,13,12,1,0,5,292.43,1,1,0.6511
37,0.2893,13.68,44.21,12,0,2,0,5,344.27,1,2,0.7017
7,0.3611,12.58,29.65,12,3,2,0,2,277.17,1,1,0.6362
22,0.5645,13.23,12.34,10,7,2,0,5,280.68,1,1,0.6397
29,0.4546,2.67,32.16,7,18,0,0,4,272.33,1,1,0.6315
46,0.2362,17.98,35.54,10,20,0,0,2,268.63,1,1,0.6279
35,0.2453,8.4,22.17,7,20,1,0,4,216.7,0,1,0.6227
7,0.4554,6.95,39.47,4,4,1,0,1,227.69,0,1,0.612
44,0.7437,9.78,11.03,14,10,1,0,5,334.35,1,2,0.692
28,0.8633,8.41,16.15,3,23,1,0,6,256.24,1,1,0.6158
36,0.1715,17.41,8.74,14,23,1,0,1,205.27,0,1,0.6339
26,0.4341,18.66,13.44,1,16,1,0,2,140.95,0,0,0.6966
27,0.1852,6.77,14.55,6,16,2,0,6,246.79,1,1,0.6066
6,0.1141,17.41,41.71,4,1,2,0,3,217.69,0,1,0.6217
31,0.6625,15.85,8.12,2,23,1,1,3,217.02,0,1,0.6224
46,0.6121,18.69,22.1,8,0,1,1,0,291.34,1,1,0.6501
6,0.2386,5.67,26.3,8,3,1,0,1,214.98,0,1,0.6244
30,0.2987,11.96,40.95,10,8,0,0,1,264.56,1,1,0.6239
21,0.1202,6.22,44.91,14,1,0,0,3,304.64,1,2,0.663
44,0.8097,16.66,35.14,10,2,0,1,2,385.01,1,2,0.7414
37,0.9285,1.1,43.83,9,5,0,0,6,428.8,1,2,0.7841
13,0.2151,11.73,36.48,13,12,0,0,6,257.31,1,1,0.6169
47,0.2968,7.44,43.53,10,14,2,0,6,382.04,1,2,0.7385
43,0.8381,7.13,33.29,7,10,1,0,0,314.33,1,2,0.6725
33,0.8875,13.25,8.19,0,9,0,0,1,205.94,0,1,0.6332
